Year,Best Picture (A),Domestic Gross (A),Highest Grossing Film (B),Domestic Gross (B), Difference In DG ,Average Diff Per Decade,Notes
1975,One Flew over the Cuckoo's Nest," $108,981,275.00 ",Jaws," $280,083,300.00 ",2.57,3.47,
1976,Rocky," $117,235,147.00 ",Rocky," $117,235,147.00 ",1.00,3.47,Highest Grossing won Best Picture
1977,Annie Hall," $38,251,425.00 ",Star Wars," $221,280,994.00 ",5.78,3.47,
1978,The Deer Hunter," $48,979,328.00 ",Grease," $159,978,870.00 ",3.27,3.47,
1979,Kramer vs. Kramer," $106,260,000.00 ",Kramer vs. Kramer," $106,260,000.00 ",1.00,3.47,Highest Grossing won Best Picture
1980,Ordinary People," $54,766,923.00 ",The Empire Strikes Back," $209,398,025.00 ",3.82,3.47,
1981,Chariots of Fire," $58,972,904.00 ",Raiders of the Lost Ark," $212,222,025.00 ",3.60,3.47,
1982,Gandhi," $52,767,889.00 ",E.T. the Extra-Terrestrial," $359,197,037.00 ",6.81,3.47,
1983,Terms of Endearment," $108,423,489.00 ",Return of the Jedi," $252,583,617.00 ",2.33,3.47,
1984,Amadeus," $51,973,029.00 ",Ghostbusters," $234,760,478.00 ",4.52,3.47,
1985,Out of Africa," $87,071,205.00 ",Back to the Future," $210,609,762.00 ",2.42,2.07,
1986,Platoon," $138,530,565.00 ",Top Gun," $176,781,728.00 ",1.28,2.07,
1987,The Last Emperor," $43,984,230.00 ",Three Men and a Baby," $167,780,960.00 ",3.81,2.07,
1988,Rain Man," $172,825,435.00 ",Rain Man," $172,825,435.00 ",1.00,2.07,Highest Grossing won Best Picture
1989,Driving Miss Daisy," $106,593,296.00 ",Batman," $251,188,924.00 ",2.36,2.07,
1990,Dances With Wolves," $184,208,848.00 ",Home Alone," $285,761,243.00 ",1.55,2.07,
1991,The Silence of the Lambs," $131,138,318.00 ",Terminator 2: Judgment Day," $204,843,345.00 ",1.56,2.07,
1992,Unforgiven," $101,157,447.00 ",Aladdin," $217,350,219.00 ",2.15,2.07,
1993,Schindler's List," $96,898,818.00 ",Jurassic Park," $357,067,947.00 ",3.68,2.07,
1994,Forrest Gump," $330,455,270.00 ",The Lion King," $295,691,076.00 ",0.89,2.07,Best Picture > Highest Grossing? Looked into this and Forrest Gump was re-released multiple times for anniversarries.
